Popularity,Vote_Count,Vote_Average,year,month,day_of_week,Original_Language_de,Original_Language_en,Original_Language_es,Original_Language_fr,Original_Language_it,Original_Language_ja,Original_Language_ko,Original_Language_other,Original_Language_ru,Original_Language_zh,other_genre,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Mystery,genre_Romance,genre_Science Fiction,genre_Thriller,genre_War
5083.954,8940,8.3,2021,12,2,False,True,False,False,False,False,False,False,False,False,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
3827.658,1151,8.1,2022,3,1,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
2618.087,122,6.3,2022,2,4,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2402.201,5076,7.7,2021,11,2,False,True,False,False,False,False,False,False,False,False,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
1895.511,1793,7.0,2021,12,2,False,True,False,False,False,False,False,False,False,False,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
1750.484,33,6.6,2022,1,4,False,True,False,False,False,False,False,False,False,False,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1675.161,821,6.8,2022,1,2,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
1601.782,206,6.3,2022,2,3,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1594.013,114,5.3,2022,2,3,False,True,False,False,False,False,False,False,False,False,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1537.406,4726,7.2,2021,11,2,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1500.523,16,5.9,2022,2,4,False,True,False,False,False,False,False,False,False,False,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1485.064,100,7.3,2021,8,4,False,False,False,False,False,True,False,False,False,False,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
1468.377,107,5.9,2022,2,4,False,False,False,True,False,False,False,False,False,False,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1455.144,952,7.1,2021,12,3,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
